anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
FALSE,32106694,antonbreba,2902,2440399498,"Pesanan telah diterima dgn cepat, baik dan benar, nordvpn sdh lgs dicoba, berhasil dan berfungsi dgn sukses, semoga lancar dan benar sampai lifetime masa berlaku serta garansinya. Harga hemat bersahabat.Terima kasih",922,2182,1590269526,1,2767211185,1590269526,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,32108078
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,50723378,sefiraamadea,2902,2446680523,"mantap gaaan
penjualnya fast respond
dikasih email, langsung dicoba dan bisa langsung dipakai juga
overall good dah 👍👍👍👍👍",922,2182,1590464135,1,2767211185,1590464135,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,50724766
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,9593687,hasbiekurniawan,3404,2347184222,"sejauh ini lancar, tanpa gangguan. mudah2an tidak ada masalah, terima kasih",842,1156,1588805535,1,4424230615,1588805535,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,9594984
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,25048304,ivonnekristina,3404,2425853241,Pelayanan dan respon cepet banget..netflix lancar ga ada masalah...thanksss,842,1156,1590015668,1,4424230615,1590015668,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,25049640
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,6893954,a*****a,3404,2353400963,"Respon seller sangat ramah & cepat. Bisa langsung dipake tanpa ad kendala, smoga lancarr trss sampai masa aktifnya selesai. Terimakasihh",842,1156,1588903099,1,4424230615,1588903099,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,6895269
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,26850649,r*****1,3404,2338199738,Oke bgt pokoknya keren pengiriman cepat dan harganya cocok untuk reseller,842,1156,1588655298,1,4424230615,1588655298,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,26851985
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,26850649,r*****1,3404,2338195345,Oke bgt pokoknya keren pengiriman cepat dan harganya cocok untuk reseller,842,1156,1588655246,1,4424230615,1588655246,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,26851985
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,58183934,b464s,2902,2403860758,"Mantap proses cepet, bisa dipake lancar di windows maupun android. Bisa buka situs2 terblokir dengan lancar dan ngebut 😉",922,2182,1589666148,1,2767211185,1589666148,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,58185359
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,11511537,d*****i,2902,2457431237,"proses cepat, langsung coba, mantap. konek nya juga cepet ga sampe semenit, speed sesuai lah. moga bneran lifetime & seller bs lbh responsif ditanya2",922,2182,1590669854,1,2767211185,1590669854,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,11512838
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,48257607,v*****a,2902,2318772177,bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus mantap keren wow gila banget amazing good trusted cepat 100 persen bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus ok,922,2182,1588252177,1,2767211185,1588252177,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,48258995
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,18552803,o*****e,2902,2392604649,"penjual fast respon, baik banget, langsung bisa, murah bergaransi, mudah-mudahan selalu awet. Semoga tokonya selalu berkah dan amanah❣️",922,2182,1589501819,1,2767211185,1589501819,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,18554139
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,4323555,m*****y,3404,2397751204,"pelayanan baik sejauh ini gak ada kendala, semoga kedepannya lancar terus",842,1156,1589556836,1,4424230615,1589556836,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,4324839
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,23401326,putriyulidha,3404,2404364139,"Sudah 2 x ini beli di sini 
Recomended banget ndak trouble sudah 2 device ",842,1156,1589681713,1,4424230615,1589681713,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,23402662
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,35389676,raphaelaquinta,3404,2369485747,"Seller ramah banget dibantuin ampe mengerti
Bagus langsung bsa dipke 
Thank you ",842,1156,1589162015,1,4424230615,1589162015,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,35391060
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,18603627,agnesahmad02,3404,2461854497,Selamet fast respons ..bener bener recomended langsung bisa nonton....,842,1156,1590752652,1,4424230615,1590752652,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,18604963
,,,,,,,,,,,,,,,,,,,,,,,
